Initiating Exchange,Option Symbol,Option Name,Program List Date
ISE,HOT,STARWOOD HOTELS & RESORTS,4/8/2009
PHLX,HOV,HOVNANIAN ENTERPRISES INC,7/9/2010
ISE,HPQ,HEWLETT PACKARD,3/23/2009
PHLX,HRB,H & R BLOCK INC.,5/22/2009
PHLX,HSBC,HSBC HOLDINGS PLC,11/29/2013
ISE,HSH,The Hillshire Brands Company,6/29/2012
AMEX,HSOL,Hanwha SolarOne Co.  Ltd.,2/15/2011
CBOE,HST,Host Hotels & Resorts,8/12/2010
ARCA,HTS,Hatteras Financial Corporation,7/13/2010
CBOE,HTZ,"Hertz Global Holdings, Inc.",8/12/2010
ISE,HUN,HUNTSMAN CORPORATION,10/19/2009
BOX,HW,HEADWATERS INCORPORATED,8/10/2010
CBOE,HZNP,"Horizon Pharma, Inc.",8/16/2012
PHLX,IAG,IAM GOLD CORP,7/14/2010
AMEX,IBKR,Interactive Brokers Group Inc,7/13/2010
ISE,IBN,ICICI BANK LIMITED,5/22/2009
ISE,IDIX,"Inenix Pharmaceuticals, Inc",8/1/2012
BOX,IDTI,INTEGRATED DEVICE TECH.,8/10/2010
CBOE,IGT,INTERNT'L GAME TECH.,9/8/2009
ISE,ILMN,"Illumina, Inc.",7/9/2010
CBOE,IMAX,IMAX CORPORATION,4/9/2010
CBOE,IMGN,IMMUNOGEN INC,8/12/2010
ARCA,IMMU,IMMUNOMEDICS INC,7/13/2010
ISE,INFI,"Infinity Pharmaceuticals, Inc.",6/3/2013
CBOE,INFN,Infinera Corporation,8/12/2010
ISE,ING,ING GROEP NV,7/9/2010
ARCA,INTC,INTEL CORPORATION,1/30/2008
ARCA,INVN,"InvenSense, Inc.",7/29/2013
AMEX,INXN,InterXion Holding NV,7/1/2013
ARCA,IO,ION Geophysical Corp,7/13/2010
ISE,IP,INTL PAPER,4/8/2009
BOX,IPG,INTERPUBLIC GROUP CO.,8/10/2010
BOX,IPI,"Intrepid Potash, Inc.",4/9/2009
CBOE,IRE,The Governor & Co of the Bank of Ireland,8/12/2010
BOX,ISIL,INTERSIL CORP,8/10/2010
CBOE,ISIS,ISIS PHARMACEUTICALS,8/12/2010
BOX,ISLE,"Isle of Capri Casinos, In",8/11/2010
C2,ITMN,INTERMUNE INC.,9/29/2011
AMEX,ITUB,Itau Unibanco Holding SA,7/13/2010
CBOE,IVR,INVESCO MORTGAGE CAPITAL INCCOM,9/27/2011
AMEX,IVZ,Invesco Ltd,2/23/2012
CBOE,JASO,"JA Solar Holdings Co., Ltd.",4/9/2010
BOX,JBL,"JABIL CIRCUIT, INC.",4/20/2010
CBOE,JBLU,JETBLUE AIRWAYS CORPORATI,6/18/2009
NSDQ,JCI,JOHNSON CONTROLS,2/12/2010
ARCA,JCP,J C PENNY,3/31/2009
C2,JDSU,JDS Uniphase Corp.,9/29/2011
NSDQ,JEC,"JACOBS ENGINEERING GROUP, INC.",2/12/2010
ISE,JKS,Jinkosolar Holding Company  Limited,1/12/2011
PHLX,JNPR,"JUNIPER NETWORKS,INC.",7/28/2003
BOX,JNS,JANUS CAPITAL GROUP INC.,8/11/2010
BOX,JNY,The Jones Group Inc,8/11/2010
ISE,JOE,ST. JOE CORPORATION,7/9/2010
BOX,JOY,JOY GLOBAL INC.,12/8/2011
AMEX,JPM,JPMORGAN CHASE & CO,12/1/2008
ISE,JRCC,James River Coal Company,1/12/2011
PHLX,JWN,NORDSTROM,3/30/2009
NSDQ,KBH,KB HOME,9/2/2009
ISE,KBR,"KBR, Inc.",5/22/2009
ISE,KCG,"Knight Capital Group, Inc.",8/1/2012
PHLX,KERX,"KERYX BIOPHARMACEUTICALS, INC.",7/9/2010
PHLX,KEY,KEYCORP NEW,3/30/2009
PHLX,KFN,KKR Financial Holdings LLC,7/14/2010
ARCA,KGC,KINROSS GOLD CORPORATION,3/31/2009
CBOE,KKD,"KRISPY KREME DOUGHNUTS, INC.",6/5/2012
ARCA,KKR,KKR & Co. LP,2/15/2011
BOX,KLAC,KLA Tencor Corp.,4/2/2009
BOX,KLIC,KULICKE AND SOFFA IND INC,8/11/2010
ARCA,KMX,CARMAX INC.,8/18/2010
ARCA,KO,COCA-COLA COMPANY,2/5/2013
ISE,KOG,Kodiac Oil & Gas Corp,3/27/2012
NSDQ,KR,KROGER CO,2/12/2010
AMEX,KSS,KOHL'S CORP,3/30/2009
ISE,KWK,QUICKSILVER RESOURCES INC.,10/19/2009
BOX,LAMR,LAMAR ADVERTISING,8/11/2010
BOX,LAZ,LAZARD LTD.,8/11/2010
NSDQ,LDK,"LDK Solar Co., Ltd.",7/24/2009
NSDQ,LEAP,Leap Wireless  Internaltionl inc,2/12/2010
ISE,LEN,LENNAR CORP,4/8/2009
BOX,LGF,Lions Gate Entertainment Corp.,8/11/2010
PHLX,LINE,Linn Energy LLC-Units,7/9/2010
BOX,LINTA,Liberty Interactive Corp,8/11/2010
ARCA,LLEN,L&L Energy Inc.,2/15/2011
PHLX,LLNW,"Limelight Networks, Inc.",2/15/2011
AMEX,LLTC,LINEAR TECHNOLOGY CORP.,4/3/2009
