Initiating Exchange,Option Symbol,Option Name,Program List Date
AMEX,RRC,RANGE RESOURCES CORPORATION,11/28/2006
AMEX,RTN,RAYTHEON CO,11/30/2009
PHLX,SAP,SAP AG,5/6/2003
AMEX,SBUX,STARBUCKS CORP,2/22/2012
ISE,SCTY,Solarcity Corporation,5/17/2013
ARCA,SFLY,Shutterfly Inc,4/25/2012
ARCA,SHLD,Sears Holding Corporation,9/8/2010
C2,SINA,SINA CORPORATION,10/9/2013
AMEX,SLB,SCHLUMBERGER LTD,3/17/2010
PHLX,SNDK,SANDISK CORP.,4/5/2011
PHLX,SODA,SodaStream International Ltd.,8/11/2011
ARCA,SOHU,SOHU COM INC,4/6/2011
NSDQ,SPLK,"Splunk, Inc.",2/25/2013
ARCA,SPN,"SUPERIOR ENERGY SERVICES, INC",10/14/2011
AMEX,SRE,SEMPRA ENERGY,12/21/2010
ISE,STT,STATE STREET BOSTON CORP.,11/5/2012
C2,STX,SEAGATE TECH PLC (IRL),12/17/2013
AMEX,STZ,"CONSTELLATION BRANDS, INC.",8/13/2012
ARCA,SWI,"Solarwinds, Inc.",6/29/2011
ARCA,SWK,Stanley Black & Decker,1/22/2003
AMEX,SYK,STRYKER CORP,2/29/2012
NSDQ,TAL,TAL International Group Inc,5/13/2013
BOX,TAP,Molson Coors Brewing Co.,4/1/2013
PHLX,TCK,Teck Resources LTD,4/5/2011
ISE,TD,TORONTO DOMINION BANK,4/12/2011
NOBO,TDC,Teradata Corp.,10/11/2013
AMEX,TEVA,TEVA PHARM. IND. INC.,5/18/2010
PHLX,TGP,Teekay LNG Partners LP,2/14/2012
ARCA,TGT,TARGET CORPORATION,10/12/2009
ARCA,TIF,TIFFANY & CO.,4/6/2011
CBOE,TJX,"TJX COMPANIES, INC.",6/30/2011
ARCA,TK,Teekay Corp,10/25/2010
AMEX,TKR,TIMKEN COMPANY,2/8/2012
GEM,TOT,TOTAL S.A.,12/9/2013
CBOE,TRIP,TripAdvisor Inc.,6/18/2013
PHLX,TRMB,TRIMBLE NAVIGATION LIMITED,3/28/2012
NSDQ,TRV,"The Travelers Companies, Inc.",5/24/2012
AMEX,TWC,"Time Warner Cable Inc., Cl. A",11/10/2011
AMEX,TWTR,"Twitter, Inc.",12/9/2013
C2,TWX,TIME WARNER INC,10/9/2013
ISE,TYC,"TYCO INTERNATIONAL, LTD",4/13/2011
BOX,TZOO,"Travelzoo, Inc.",7/29/2011
ISE,UA,"Under Armor, Inc Class A",4/7/2011
BOX,ULTA,Ulta Salon Cosmetics & Fragrance Inc,6/12/2013
C2,UNH,UNITEDHEALTH GROUP INC.,9/29/2011
C2,UPS,UNITED PARCEL SERVICES,9/29/2011
NSDQ,URI,"UNITED RENTALS, INC.",1/18/2013
ARCA,UTHR,UNITED THERAPEUTICS CORP,8/24/2011
PHLX,UTX,UNITED TECHNOLOGIES,8/3/2010
ISE,VECO,VEECO INSTRUMENTS,4/12/2011
CBOE,VIAB,Viacom Inc.  CL B (new),5/3/2012
PHLX,VIPS,Vipshop Holdings Limited,10/18/2013
AMEX,VJET,Voxeljet AG,11/20/2013
PHLX,VMW,VMware Inc.,4/5/2011
PHLX,VNR,Vanguard Natural Resources LLC.,2/14/2012
ARCA,VPRT,Vistaprint NV,7/29/2009
ISE,VRTX,"VERTEX PHARMCTLS, INC.",4/12/2011
ISE,VRX,Valeant Pharmaceuticals Intl.,4/7/2011
ISE,VZ,VERIZON COMM,8/1/2012
C2,WAG,WALGREEN CO,10/9/2013
PHLX,WDAY,"Workday, Inc.",10/25/2012
GEM,WDC,WESTERN DIGITAL CORP,9/18/2013
PHLX,WFM,WHOLE FOODS MARKET INC,5/6/2011
ISE,WHR,WHIRLPOOL CORPORATION,4/7/2011
AMEX,WLL,Whiting Petroleum Corp.,3/15/2013
ARCA,WLP,"WellPoint, Inc.",8/20/2009
BOX,WLT,"Walter Energy, Inc.",11/1/2011
C2,WMT,"WAL-MART STORES, INC.",9/29/2011
ISE,WSM,WILLIAMS-SONOMA INC,10/16/2012
ARCA,WTW,"WEIGHT WATCHERS INTL., INC.",4/6/2011
CBOE,WYN,Wyndham Worldwide Corp,12/5/2013
C2,XOM,EXXON MOBIL CORP,9/29/2011
ISE,YELP,Yelp Inc,8/1/2013
CBOE,YRCW,YRC Worldwide Inc,7/1/2013
PHLX,YUM,"YUM BRANDS, INC.",4/20/2012
